llm_model,dataset,attack,classifier,attack_dir,prompt_hash,backend,n_total,n_parse_failed_orig,n_parse_failed_adv,n_classifier_success,llm_clean_acc,llm_adv_acc,robustness_gap,llm_consistency,llm_transfer_asr,n_transfer_eligible,wall_time_sec,output_dir
INSAIT-Institute/MamayLM-Gemma-3-12B-IT-v1.0,reviews,textfooler,ukr_roberta,results/textfooler/reviews__ukr_roberta,8c7bd046cc4b,cuda_4bit,9769,0,0,3819,0.44979015252328797,0.3413860169925274,0.10840413553076056,0.8360118742962432,0.37144790257104193,1478,4253.310070514679,results/llm/mamay__textfooler__reviews__ukr_roberta
INSAIT-Institute/MamayLM-Gemma-3-12B-IT-v1.0,news,textfooler,sbert_mpnet,results/textfooler/news__sbert_mpnet,b63b607e0512,cuda_4bit,10000,0,2,1050,0.7544,0.7470494098819764,0.007350590118023526,0.9515903180636127,0.0819423368740516,659,5897.953773021698,results/llm/mamay__textfooler__news__sbert_mpnet
INSAIT-Institute/MamayLM-Gemma-3-12B-IT-v1.0,news,textfooler,ukr_roberta,results/textfooler/news__ukr_roberta,b63b607e0512,cuda_4bit,10000,0,1,801,0.7544,0.7438743874387439,0.01052561256125606,0.9427942794279428,0.09406952965235174,489,5865.902215480804,results/llm/mamay__textfooler__news__ukr_roberta
INSAIT-Institute/MamayLM-Gemma-3-12B-IT-v1.0,news,textfooler,xlmr_base,results/textfooler/news__xlmr_base,b63b607e0512,cuda_4bit,10000,0,1,1008,0.7544,0.7417741774177418,0.012625822582258195,0.9450945094509451,0.11007751937984496,645,5903.870847225189,results/llm/mamay__textfooler__news__xlmr_base
INSAIT-Institute/MamayLM-Gemma-3-12B-IT-v1.0,reviews,textfooler,sbert_mpnet,results/textfooler/reviews__sbert_mpnet,8c7bd046cc4b,cuda_4bit,9769,0,0,2726,0.44979015252328797,0.29347937352850856,0.1563107789947794,0.7863650322448562,0.47790697674418603,860,4286.194281339645,results/llm/mamay__textfooler__reviews__sbert_mpnet
INSAIT-Institute/MamayLM-Gemma-3-12B-IT-v1.0,reviews,textfooler,ukr_roberta,results/textfooler/reviews__ukr_roberta,8c7bd046cc4b,cuda_4bit,9769,0,0,3819,0.44979015252328797,0.3413860169925274,0.10840413553076056,0.8360118742962432,0.37144790257104193,1478,0.07352972030639648,results/llm/mamay__textfooler__reviews__ukr_roberta
INSAIT-Institute/MamayLM-Gemma-3-12B-IT-v1.0,reviews,textfooler,xlmr_base,results/textfooler/reviews__xlmr_base,8c7bd046cc4b,cuda_4bit,9769,0,0,2639,0.44979015252328797,0.2970621353260313,0.15272801719725665,0.7790971440270242,0.48236632536973834,879,4292.5875997543335,results/llm/mamay__textfooler__reviews__xlmr_base
INSAIT-Institute/MamayLM-Gemma-3-12B-IT-v1.0,unlp,textfooler,sbert_mpnet,results/textfooler/unlp__sbert_mpnet,d7ab791a7088,cuda_4bit,382,0,0,151,0.6884816753926701,0.6701570680628273,0.018324607329842868,0.8298429319371727,0.2828282828282828,99,235.2949275970459,results/llm/mamay__textfooler__unlp__sbert_mpnet
INSAIT-Institute/MamayLM-Gemma-3-12B-IT-v1.0,unlp,textfooler,ukr_roberta,results/textfooler/unlp__ukr_roberta,d7ab791a7088,cuda_4bit,382,0,0,124,0.6884816753926701,0.6518324607329843,0.03664921465968585,0.8115183246073299,0.375,80,232.63410019874573,results/llm/mamay__textfooler__unlp__ukr_roberta
INSAIT-Institute/MamayLM-Gemma-3-12B-IT-v1.0,unlp,textfooler,xlmr_base,results/textfooler/unlp__xlmr_base,d7ab791a7088,cuda_4bit,382,0,0,116,0.6884816753926701,0.6151832460732984,0.0732984293193717,0.806282722513089,0.47297297297297297,74,231.88436102867126,results/llm/mamay__textfooler__unlp__xlmr_base
